codigo,descricao
BRKM5,Maior petroquímica da América Latina e uma das maiores do mundo. Produz resinas termoplásticas (polietileno polipropileno PVC) e químicos básicos. Presente em 40 plantas industriais no Brasil EUA e Europa. Fornece matéria-prima para embalagens automotivo construção e agricultura.
BRAV3,Empresa de exploração e produção de petróleo e gás em campos maduros terrestres e marítimos. Formada pela fusão de 3R Petroleum e Enauta. Estratégia de revitalização de campos com produção declinante. Operações concentradas no Nordeste e na Bacia de Santos.
BPAC11,Maior banco de investimentos da América Latina com atuação global. Atua em gestão de fortunas banco corporativo e de investimento e banco digital. Presente em mais de 20 países com mais de R$ 1 trilhão sob gestão. Reconhecido pela cultura meritocrática e crescimento acelerado.
CXSE3,Braço de seguros previdência e capitalização da Caixa Econômica Federal. Utiliza a maior rede de agências bancárias do Brasil como canal de distribuição. Líder em seguros habitacionais e prestamista. Alta rentabilidade com baixo custo de aquisição de clientes.
CEAB3,Rede varejista de moda com mais de 300 lojas em todo o Brasil. Oferece roupas calçados e acessórios para público de renda média. Marca centenária com forte presença em shopping centers. Investindo em transformação digital e omnicanalidade.
CMIG4,Companhia Energética de Minas Gerais atua em geração transmissão e distribuição de energia. Uma das maiores empresas de energia do Brasil com mais de 8 milhões de clientes. Controlada pelo governo de Minas Gerais com participação privada relevante. Forte geradora de caixa e pagadora de dividendos.
COGN3,Maior grupo educacional privado do Brasil com mais de 700 mil alunos. Atua através das marcas Kroton (ensino superior) Vasta (educação básica) e Saber. Presente em todo o país com cursos presenciais e EAD. Líder em educação a distância no Brasil.
CSMG3,Companhia de Saneamento de Minas Gerais responsável por água e esgoto. Atende mais de 600 municípios mineiros com milhões de ligações. Setor regulado com receita previsível e reajustes periódicos. Investimentos em universalização do saneamento conforme marco legal.
CPLE3,Companhia Paranaense de Energia atua em geração transmissão e distribuição. Atende mais de 4 milhões de unidades consumidoras no Paraná. Recentemente privatizada com expectativa de ganhos de eficiência. Diversificada entre segmentos regulados e de mercado livre.
CSAN3,Conglomerado com atuação em energia (Raízen) logística (Rumo) lubrificantes (Moove) e agronegócio. Uma das maiores empresas privadas do Brasil com receita superior a R$ 100 bilhões. Controladora da Raízen joint venture com Shell em etanol e distribuição. Estratégia de criação de valor via empresas independentes listadas.
CPFE3,Grupo de energia que atua em geração distribuição e comercialização em São Paulo e Rio Grande do Sul. Atende mais de 10 milhões de clientes em sua área de concessão. Controlada pelo grupo chinês State Grid. Forte geradora de caixa com dividendos consistentes.
CMIN3,Braço de mineração de ferro da CSN com operações em Minas Gerais. Uma das maiores exportadoras de minério de ferro do Brasil. Produção superior a 40 milhões de toneladas por ano. Receita atrelada ao preço internacional do minério e ao câmbio.
CURY3,Construtora e incorporadora focada em habitação popular e média renda (Minha Casa Minha Vida). Uma das mais rentáveis do setor com margens acima da média. Atuação concentrada em São Paulo e Rio de Janeiro. Crescimento acelerado com forte geração de caixa.
CYRE3,Uma das maiores construtoras e incorporadoras do Brasil com foco em alto padrão. Mais de 60 anos de história com milhares de unidades entregues. Atuação em São Paulo Rio de Janeiro e outras capitais. Também presente no segmento econômico através da marca Vivaz.
DIRR3,Construtora focada em habitação popular e média renda com atuação nacional. Presente em mais de 15 estados com forte crescimento nos últimos anos. Beneficiada pelo programa Minha Casa Minha Vida. Modelo verticalizado com terrenos próprios e construção interna.
EMBJ3,Terceira maior fabricante de aviões do mundo e líder global em jatos regionais. Mais de 50 anos de história com mais de 8.000 aeronaves entregues. Atua em aviação comercial executiva defesa e segurança. Presente em mais de 90 países com fábricas no Brasil EUA e Portugal.
ENGI11,Grupo de distribuição de energia elétrica com atuação em 9 estados brasileiros. Atende mais de 8 milhões de clientes do Norte ao Sudeste. Uma das maiores distribuidoras privadas do país. Crescimento via aquisições e concessões com gestão eficiente.
ENEV3,Empresa de geração de energia termelétrica a gás natural com reservatórios próprios. Opera na Bacia do Parnaíba (Maranhão) e no Amazonas. Modelo integrado de exploração de gás e geração de energia. Contratos de disponibilidade garantem receita mesmo sem despacho.
EGIE3,Maior geradora privada de energia do Brasil com foco em fontes renováveis. Capacidade instalada superior a 10 GW em hidrelétricas eólicas e solares. Subsidiária da francesa Engie com gestão local. Forte pagadora de dividendos com contratos de longo prazo.
EQTL3,Grupo de energia com distribuição em 7 estados e saneamento no Amapá. Atende mais de 30 milhões de pessoas em suas áreas de concessão. Crescimento acelerado via aquisições de distribuidoras. Reconhecida pela eficiência operacional e redução de perdas.
FLRY3,Maior empresa de medicina diagnóstica do Brasil com mais de 300 unidades. Realiza exames laboratoriais de imagem e procedimentos ambulatoriais. Marcas Fleury a+ Weinmann e Labs a+. Referência em qualidade e inovação no setor de saúde.
GGBR4,Maior produtora de aço do Brasil e líder em aços longos nas Américas. Presente em 9 países com capacidade de produção superior a 12 milhões de toneladas. Mais de 120 anos de história com atuação em construção automotivo e indústria. Forte exportadora e geradora de caixa.
GOAU4,Holding controladora da Gerdau maior siderúrgica do Brasil. Participação majoritária na Gerdau com direitos sobre seus dividendos. Estrutura de holding com desconto sobre o valor da controlada. Mesma exposição ao setor siderúrgico com governança diferenciada.
HAPV3,Maior operadora de planos de saúde do Brasil com modelo verticalizado. Atende mais de 15 milhões de beneficiários em saúde e odontologia. Opera hospitais clínicas e laboratórios próprios reduzindo custos. Presente em todas as regiões do país após fusão com NotreDame Intermédica.
HYPE3,Maior empresa farmacêutica do Brasil com portfólio de mais de 200 marcas. Dona de marcas icônicas como Buscopan Benegrip Engov e Epocler. Atua em medicamentos prescritos e OTC (sem receita). Líder em diversas categorias terapêuticas no mercado brasileiro.
IGTI11,Empresa de shopping centers de alto padrão em São Paulo e outras capitais. Opera shoppings como Iguatemi JK Iguatemi e Pátio Higienópolis. Foco em público de alta renda com mix de lojas premium. Também atua em torres comerciais e outlets.
ISAE4,Uma das maiores transmissoras de energia elétrica do Brasil. Opera mais de 6.000 km de linhas de transmissão em alta tensão. Receita regulada com reajustes anuais pela inflação. Contratos de concessão de longo prazo garantem previsibilidade.
ITSA4,Holding controladora do Itaú Unibanco maior banco privado da América Latina. Também possui participações em Alpargatas Dexco e Copa Energia. Forma mais acessível de investir no Itaú com desconto de holding. Forte pagadora de dividendos com histórico consistente.
ITUB4,Maior banco privado da América Latina com mais de 90 anos de história. Atua em banco de varejo atacado seguros gestão de ativos e mercado de capitais. Presente em 18 países atendendo mais de 60 milhões de clientes. Reconhecido por eficiência operacional e forte distribuição de dividendos.
KLBN11,Maior produtora e exportadora de papéis para embalagens do Brasil. Atua em celulose papéis cartão e embalagens com fábricas em 4 estados. Mais de 120 anos de história com foco em produtos sustentáveis. Exporta para mais de 100 países com receita dolarizada.
RENT3,Maior empresa de aluguel de carros e gestão de frotas da América Latina. Frota superior a 600 mil veículos entre aluguel e frotas corporativas. Presente em centenas de agências em todo o Brasil. Também atua em seminovos sendo uma das maiores revendedoras do país.
LREN3,Maior varejista de moda do Brasil com mais de 600 lojas em shoppings. Atua com marcas Renner Youcom Ashua e Camicado. Modelo fast fashion com coleções renovadas frequentemente. Também opera serviços financeiros (Realize) com cartão próprio.
MGLU3,Varejista brasileira de eletrodomésticos móveis e marketplace digital. Uma das maiores plataformas de e-commerce do Brasil com milhões de sellers. Transformação digital acelerada nos últimos anos com super app. Presente em centenas de lojas físicas e forte logística própria.
POMO4,Maior fabricante de carrocerias de ônibus do Brasil e uma das maiores do mundo. Exporta para mais de 100 países com fábricas no Brasil e exterior. Atua em ônibus rodoviários urbanos e micro-ônibus. Mais de 70 anos de história com marca reconhecida globalmente.
MBRF3,Uma das maiores empresas de proteína animal do mundo com foco em carne bovina. Opera dezenas de plantas frigoríficas no Brasil e no exterior. Exporta para mais de 100 países com marcas próprias. Também atua em ovinos e produtos processados.
BEEF3,Líder na exportação de carne bovina na América do Sul com operações em vários países. Atua em bovinos suínos ovinos e processados. Presente no Brasil Paraguai Argentina Uruguai e Austrália. Foco em mercados premium e marcas de valor agregado.
MOTV3,Empresa de tecnologia e serviços para o setor automotivo. Atua em soluções digitais para concessionárias montadoras e consumidores. Plataforma que conecta toda a cadeia do mercado de veículos. Crescimento via digitalização do setor automotivo.
MRVE3,Maior construtora de habitação popular do Brasil com atuação em dezenas de cidades. Foco no programa Minha Casa Minha Vida com milhares de unidades por ano. Também atua nos EUA através da subsidiária Resia. Mais de 40 anos de história com forte presença nacional.
MULT3,Empresa de shopping centers de alto padrão dona do BarraShopping MorumbiShopping e ParkShopping. Opera mais de 20 shoppings em capitais e grandes cidades. Foco em público de alta renda com experiências premium. Também atua em multipropriedade e desenvolvimento imobiliário.
NATU3,Maior grupo de cosméticos da América Latina com as marcas Natura Avon e The Body Shop. Modelo de venda direta com milhões de consultoras em dezenas de países. Pioneira em sustentabilidade e uso de ingredientes da biodiversidade amazônica. Presente em mais de 70 países com forte propósito socioambiental.
PETR3,Maior empresa do Brasil e uma das maiores petroleiras do mundo. Atua em exploração produção refino e distribuição de petróleo e gás. Opera o pré-sal brasileiro uma das maiores descobertas de petróleo do século. Controlada pelo governo federal com ações negociadas em NY e SP.
PETR4,Maior empresa do Brasil e uma das maiores petroleiras do mundo. Atua em exploração produção refino e distribuição de petróleo e gás. Opera o pré-sal brasileiro uma das maiores descobertas de petróleo do século. Controlada pelo governo federal com ações negociadas em NY e SP.
RECV3,Empresa de exploração e produção de petróleo e gás na Bahia e Rio Grande do Norte. Foco em campos terrestres maduros com técnicas de recuperação avançada. Adquiriu ativos da Petrobras em processo de desinvestimento. Produção crescente com baixo custo operacional.
PSSA3,Uma das maiores seguradoras do Brasil com atuação em auto saúde residencial e vida. Mais de 75 anos de história com marca reconhecida pela qualidade. Também atua em saúde (Porto Saúde) e serviços financeiros. Modelo diversificado com forte fidelização de clientes.
PRIO3,Empresa de exploração e produção de petróleo em campos marítimos no Brasil. Estratégia de aquisição e revitalização de campos maduros offshore. Uma das petroleiras privadas mais eficientes do país. Produção crescente com foco em redução de custos operacionais.
RADL3,Maior rede de farmácias do Brasil com mais de 3.000 lojas em todo o país. Opera as bandeiras Raia e Drogasil com presença em centenas de cidades. Líder em market share no varejo farmacêutico brasileiro. Crescimento orgânico consistente com abertura de dezenas de lojas por mês.
RDOR3,Maior rede de hospitais privados do Brasil com mais de 70 unidades. Atua em hospitais clínicas oncologia e planos de saúde (SulAmérica). Presente nas principais capitais com referência em alta complexidade. Crescimento via aquisições e integração vertical no setor de saúde.
RAIL3,Maior operadora de ferrovias do Brasil focada em transporte de grãos e commodities. Opera mais de 14.000 km de malha ferroviária conectando interior aos portos. Essencial para o escoamento da safra agrícola brasileira. Também atua em contêineres e transporte urbano.
SBSP3,Companhia de Saneamento de São Paulo responsável por água e esgoto no estado. Atende mais de 28 milhões de pessoas sendo uma das maiores empresas de saneamento do mundo. Recentemente privatizada com metas ambiciosas de universalização. Investimentos bilionários previstos para os próximos anos.
SANB11,Terceiro maior banco privado do Brasil e parte do grupo espanhol Santander. Atua em varejo empresas e banco de investimento. Presente em milhares de agências com forte atuação digital. Foco em rentabilidade e eficiência operacional.
CSNA3,Companhia Siderúrgica Nacional atua em aço mineração cimento e logística. Uma das maiores siderúrgicas integradas do Brasil com mais de 80 anos. Opera minas de ferro portos e ferrovias próprias. Diversificação em cimento e energia complementa o negócio principal.
SLCE3,Maior produtora de grãos do Brasil com fazendas em 7 estados. Cultiva soja milho algodão e outras culturas em mais de 600 mil hectares. Modelo de agricultura de precisão com alta produtividade. Receita dolarizada atrelada a commodities agrícolas globais.
SMFT3,Maior rede de academias da América Latina com mais de 1.500 unidades. Presente em mais de 15 países com modelo de franquia e lojas próprias. Marca reconhecida pelo custo-benefício e acessibilidade. Crescimento acelerado pós-pandemia com forte expansão internacional.
SUZB3,Maior produtora mundial de celulose de eucalipto com florestas plantadas no Brasil. Exporta para mais de 40 países sendo referência em sustentabilidade florestal. Capacidade de produção superior a 10 milhões de toneladas por ano. Receita dolarizada com posição de liderança global.
TAEE11,Empresa focada exclusivamente em transmissão de energia elétrica com mais de 14.000 km de linhas. Receita regulada com reajustes anuais pela inflação (RAP). Uma das maiores pagadoras de dividendos da bolsa brasileira. Contratos de concessão de 30 anos garantem previsibilidade de longo prazo.
VIVT3,Maior operadora de telecomunicações do Brasil com mais de 100 milhões de acessos. Atua em telefonia móvel banda larga fibra óptica e TV por assinatura. Marca Vivo é líder em cobertura 4G e 5G no país. Controlada pelo grupo espanhol Telefónica com forte geração de caixa.
TIMS3,Segunda maior operadora de celular do Brasil com foco em dados móveis. Líder em cobertura 4G no país com expansão acelerada do 5G. Forte crescimento em clientes pós-pagos e receita por usuário. Controlada pelo grupo italiano Telecom Italia.
TOTS3,Maior empresa de software de gestão (ERP) da América Latina com mais de 40 mil clientes. Atua em sistemas para empresas de todos os portes e setores. Presente em 12 países com mais de 30 mil funcionários. Líder absoluta no mercado brasileiro de software empresarial.
UGPA3,Conglomerado com atuação em distribuição de combustíveis (Ipiranga) e gás (Ultragaz). Uma das maiores distribuidoras de combustíveis do Brasil com milhares de postos. Também atua em logística de granéis líquidos (Ultracargo). Mais de 85 anos de história com gestão reconhecida.
USIM5,Uma das maiores siderúrgicas do Brasil especializada em aços planos. Fornece para setores automotivo construção naval e linha branca. Usinas em Minas Gerais e São Paulo com capacidade de 10 milhões de toneladas. Exporta para dezenas de países com foco em produtos de maior valor.
VALE3,Maior produtora de minério de ferro do mundo e uma das maiores mineradoras globais. Opera minas ferrovias e portos em sistema integrado no Brasil. Também produz níquel cobre e outros metais com operações em 5 continentes. Uma das empresas mais valiosas da América Latina com forte geração de caixa.
VAMO3,Maior empresa de locação de caminhões máquinas e equipamentos do Brasil. Parte do grupo Simpar com foco em locação operacional de longo prazo. Atende setores de agronegócio logística e construção. Crescimento acelerado com frota superior a 50 mil ativos.
VBBR3,Maior distribuidora de combustíveis do Brasil (antiga BR Distribuidora da Petrobras). Opera a rede de postos Petrobras com milhares de unidades em todo o país. Também atua em lubrificantes aviação e grandes consumidores. Privatizada em 2021 com ganhos de eficiência e governança.
VIVA3,Maior rede de joalherias do Brasil com mais de 400 pontos de venda. Opera as marcas Vivara e Life by Vivara em shoppings de todo o país. Produção própria de joias em ouro prata e diamantes. Crescimento consistente com expansão de lojas e e-commerce.
WEGE3,Multinacional brasileira líder mundial em motores elétricos e automação industrial. Presente em mais de 135 países com fábricas em 12 nações. Atua em motores automação tintas e energia solar. Reconhecida pela inovação e crescimento consistente há décadas.
YDUQ3,Grupo educacional com universidades presenciais e EAD presente em todo o Brasil. Opera as marcas Estácio Ibmec Damásio e dezenas de outras instituições. Mais de 1 milhão de alunos em graduação pós-graduação e cursos livres. Forte presença digital com plataformas de ensino a distância.
